keys,pl,en,de
Poziom 1: Poluj!,Poziom 1: Poluj!,Level 1: Hunt!,Level 1: Jagen!
Poziom 2: Łapaj!,Poziom 2: Łapaj!,Level 2: Catch!,Level 2: Fangen!
Poziom 3: Capaj!,Poziom 3: Capaj!,Level 3: Grab!,Level 3: Schnappen!
Poziom 4: Goń!,Poziom 4: Goń!,Level 4: Chase!,Level 4: Verfolgen!
Poziom 5: Graj!,Poziom 5: Graj!,Level 5: Play!,Level 5: Spielen!
Gracze,Gracze,Players,Spieler
Drużyny,Drużyny,Teams,Teams
Pełny ekran,Pełny ekran,Fullscreen,Vollbild
Wyjście,Wyjście,Exit,Beenden
Naciśnij coś,Naciśnij coś,Press something,Drück etwas
Kontroler,Kontroler,Controller,Controller
Klawiatura,Klawiatura,Keyboard,Tastatur
Kontroler 1,Kontroler 1,Controller 1,Controller 1
Kontroler 2,Kontroler 2,Controller 2,Controller 2
Kontroler 3,Kontroler 3,Controller 3,Controller 3
Kontroler 4,Kontroler 4,Controller 4,Controller 4
Własne,Własne,Custom,Eigene
Strzałki,Strzałki,Arrows,Pfeiltasten
Strzałki kompaktowe,Strzałki kompaktowe,Compact arrows,Kompakte Pfeiltasten
Skok,Skok,Jump,Sprung
Gadaj,Gadaj,Talk,Reden
Ok,Ok,Ok,Ok
Kunek Boguś,Kunek Boguś,Boguś the Marten,Boguś der Marder
Świrofretka,Świrofretka,Loony Ferret,Irrfrettchen
Pieczona Łasica,Pieczona Łasica,Roasted Weasel,Gebratenes Wiesel
Mrożony Gronostaj,Mrożony Gronostaj,Frozen Ermine,Gefrorenes Hermelin
Sterowanie,Sterowanie,Controls,Steuerung
Anuluj,Anuluj,Cancel,Abbrechen
Liczba zespołów berków,Liczba zespołów berków,Number of tagger teams,Anzahl der Fänger-Teams
Licz punkty berkowe,Licz punkty berkowe,Count tag points,Fangpunkte zählen
Licz gole,Licz gole,Count goals,Tore zählen
Łatwiejsze sterowanie Kunkiem,Łatwiejsze sterowanie Kunkiem,Easier controls for Marten,Einfachere Steuerung für Marder
Łatwiejsze sterowanie Fretką,Łatwiejsze sterowanie Fretką,Easier controls for Ferret,Einfachere Steuerung für das Frettchen
Łatwiejsze sterowanie Łasicą,Łatwiejsze sterowanie Łasicą,Easier controls for Weasel,Einfachere Steuerung für das Wiesel
Łatwiejsze sterowanie Gronostajem,Łatwiejsze sterowanie Gronostajem,Easier controls for Ermine,Einfachere Steuerung für das Hermelin
Pad,Pad,Gamepad,Gamepad
skok,skok,jump,Sprung
gadaj,gadaj,talk,reden
